religion	caste	subcaste
Hindu	Gavara	
Hindu	Ghumar	
Hindu	Goala	
Hindu	Goan	
Hindu	Goswami	
Hindu	Goud	
Hindu	Gounder	
Hindu	Gowda	
Hindu	Gramani	
Hindu	Gudia	
Hindu	Gujarati	
Hindu	Gujjar	
Hindu	Gupta	
Hindu	Guptan	
Hindu	Gurjar	
Hindu	Halwai	
Hindu	Hegde	
Hindu	Helava	
Hindu	Hindu	
Hindu	Hugar (Jeer)	
Hindu	Jaalari	
Hindu	Jaiswal	
Hindu	Jandra	
Hindu	Jangam	
Hindu	Jatav	
Hindu	Jetty Malla	
Hindu	Kachara	
Hindu	Kaibarta	
Hindu	Kakkalan	
Hindu	Kalar	
Hindu	Kalinga	
Hindu	Kalinga Vysya	
Hindu	Kalita	
Hindu	Kalwar	
Hindu	Kamma	
Hindu	Kamma Naidu	
Hindu	Kammala	
Hindu	Kaniyan	
Hindu	Kannada Mogaveera	
Hindu	Kansari	
Hindu	Kanu	
Hindu	Kapu	
Hindu	Kapu Naidu	
Hindu	Karana	
Hindu	Karmakar	
Hindu	Kartha	
Hindu	Karuneegar	
Hindu	Kasar	
Hindu	Kashyap	
Hindu	Kavuthiyya/Ezhavathy	
Hindu	Kayastha	
Hindu	Khandayat	
Hindu	Khandelwal	
Hindu	Kharwar	
Hindu	Khatik	
Hindu	Kirar	
Hindu	Koli	
Hindu	Koli Patel	
Hindu	Kongu Vellala Gounder	
Hindu	Konkani	
Hindu	Korama	
Hindu	Kori	
Hindu	Koshti	
Hindu	Krishnavaka	
Hindu	Kshatriya/Raju/Varma	
Hindu	Kudumbi	
Hindu	Kulal	
Hindu	Kulalar	
Hindu	Kulita	
Hindu	Kumawat	
Hindu	Kumbara	
Hindu	Kumbhakar/Kumbhar	
Hindu	Kumhar	
Hindu	Kummari	
Hindu	Kunbi	
Hindu	Kurava	
Hindu	Kuravan	
Hindu	Kurmi	
Hindu	Kurmi Kshatriya	
Hindu	Kuruba	
Hindu	Kuruhina Shetty	
Hindu	Kurumbar	
Hindu	Kurup	
Hindu	Kushwaha	
Hindu	Kutchi	
Hindu	Lambadi/Banjara	
Hindu	Lambani	
Hindu	Leva Patil	
Hindu	Lingayath	
Hindu	Lohana	
Hindu	Lohar	
Hindu	Loniya/Lonia/Lunia	
Hindu	Lubana	
Hindu	Madhesiya	
Hindu	Madiga	
Hindu	Mahajan	
Hindu	Mahar	
Hindu	Maharashtrian	
Hindu	Mahendra	
Hindu	Maheshwari	
Hindu	Mahindra	
Hindu	Mahishya	
Hindu	Majabi	
Hindu	Mala	
Hindu	Malayalee Variar	
Hindu	Mali	
Hindu	Mallah	
Hindu	Mangalorean	
Hindu	Maniyani	
Hindu	Mannadiar	
Hindu	Mannan	
Hindu	Marar	
Hindu	Maruthuvar	
Hindu	Marvar	
Hindu	Marwari	
Hindu	Matang	
Hindu	Maurya	
Hindu	Meda	
Hindu	Medara	
Hindu	Meena	
Hindu	Meenavar	
Hindu	Meghwal	
Hindu	Mehra	
Hindu	Menon	
Hindu	Meru Darji	
Hindu	Modak	
Hindu	Mogaveera	
Hindu	Monchi	
Hindu	Mudaliar	
Hindu	Mudiraj	
Hindu	Munnuru Kapu	
Hindu	Muthuraja	
Hindu	Naagavamsam	
Hindu	Nagaralu	
Hindu	Nai	
Hindu	Naicken	
Hindu	Naicker	
Hindu	Naidu	
Hindu	Naik	
Hindu	Nair	
Hindu	Namasudra	
Hindu	Nambiar	
Hindu	Nambisan	
Hindu	Namdev	
Hindu	Namosudra	
Hindu	Napit	
Hindu	Nayak	
Hindu	Nayak/Naik	
Hindu	Nayaka	
Hindu	Neeli	
Hindu	Nepali	
Hindu	Nhavi	
Hindu	Oswal	
Hindu	Otari	
Hindu	Other	
Hindu	Padmasali	
Hindu	Panchal	
Hindu	Pandaram	
Hindu	Panicker	
Hindu	Paravan	
Hindu	Parit	
Hindu	Parkava Kulam	
Hindu	Partraj	
Hindu	Pasi	
Hindu	Paswan	
Hindu	Patel	
Hindu	Patnaick	
Hindu	Patra	
Hindu	Patwa	
Hindu	Perika	
Hindu	Pillai	
Hindu	Pisharody	
Hindu	Poduval	
Hindu	Poosala	
Hindu	Prajapati	
Hindu	Pulaya	
Hindu	Punjabi	
Hindu	Raigar	
Hindu	Rajaka	
Hindu	Rajaka/Chakali/Dhobi	
Hindu	Rajbhar	
Hindu	Rauniyar	
Hindu	Rawat	
Hindu	Reddiar	
Hindu	Reddy	
Hindu	Relli	
Hindu	Sadgop	
Hindu	Saha	
Hindu	Sahu	
Hindu	Saiva Vellala	
Hindu	Saliya	
Hindu	Sambava	
Hindu	Satnami	
Hindu	Savji	
Hindu	Senai Thalaivar	
Hindu	Sepahia	
Hindu	Setti Balija	
Hindu	Shah	
Hindu	Shilpkar	
Hindu	Shimpi	
Hindu	Sindhi	
Hindu	Sindhi-Amil	
Hindu	Sindhi-Baibhand	
Hindu	Sindhi-Larkana	
Hindu	Sindhi-Sahiti	
Hindu	Sindhi-Sakkhar	
Hindu	Sindhi-Shikarpuri	
Hindu	Somvanshi	
Hindu	Sonar	
Hindu	Soni	
Hindu	Sourashtra	
Hindu	Sowrashtra	
Hindu	Sozhiya Vellalar	
Hindu	Sri Vaishnava	
Hindu	Srisayana	
Hindu	SSK	
Hindu	Subarna Banik	
Hindu	Sugali (Naika)	
Hindu	Sundhi	
Hindu	Surya Balija	
Hindu	Sutar	
Hindu	Suthar	
Hindu	Swakula Sali	
Hindu	Swarnakar	
Hindu	Tamboli	
Hindu	Tamil Yadava	
Hindu	Tanti	
Hindu	Tantuway	
Hindu	Telaga	
Hindu	Teli	
Hindu	Telugu	
Hindu	Thachar	
Hindu	Thakkar	
Hindu	Thakur	
Hindu	Thandan	
Hindu	Thigala	
Hindu	Thiyya	
Hindu	Thuluva Vellala	
Hindu	Tili	
Hindu	Togata	
Hindu	Turupu Kapu	
Hindu	Udayar	
Hindu	Urali Gounder	
Hindu	Urs	
Hindu	Vada Balija	
Hindu	Vadagalai	
Hindu	Vaddera	
Hindu	Vaduka	
Hindu	Vaish	
Hindu	Vaishnav	
Hindu	Vaishya	
Hindu	Vallala	
Hindu	Valluvan	
Hindu	Valmiki	
Hindu	Vanika Vyshya	
Hindu	Vaniya Chettiar	
Hindu	Vanjara	
Hindu	Vankar	
Hindu	Vannan	
Hindu	Vannar	
Hindu	Vanniyakullak Kshatriya	
Hindu	Vanniyar	
Hindu	Variar	
Hindu	Varshney	
Hindu	Veera Saivam	
Hindu	Veerashaiva	
Hindu	Velaan	
Hindu	Velama	
Hindu	Velar	
Hindu	Vellalar	
Hindu	Vettuva Gounder	
Hindu	Vishwakarma	
Hindu	Viswabrahmin	
Hindu	Vokaliga	
Hindu	Vokkaliga	
Hindu	Vysya	
Hindu	Waada Balija	
Hindu	Yadav	
Hindu	Yellapu	
Hindu	Maratha	96 Kuli
Hindu	Dhangar	Ahir
Hindu	Sonar	Ahir Sonar
Hindu	Brahmin	Anavil
Hindu	Mudaliar	Arcot
Hindu	Brahmin	Audichya
Hindu	OBC	Barber/Naayee
Hindu	Brahmin	Barendra
Hindu	Brahmin	Bengali
Hindu	Sindhi	Bhanusali
Hindu	Sindhi	Bhatia
Hindu	Vaishnav	Bhatia
Hindu	Brahmin	Bhatt
Hindu	Kshatriya	Bhavasar
Hindu	Brahmin	Bhumihar
Hindu	Brahmin	Brahmbhatt
Hindu	Chambhar	Chevli
Hindu	Sindhi	Chhapru
Hindu	Brahmin	Chitpavan
Hindu	Brahmin	Chitpavan Konkanastha
Hindu	Chambhar	Dabholi
Hindu	Brahmin	Dadhich/Dadheech
Hindu	Sindhi	Dadu
Hindu	Brahmin	Daivadnya
Hindu	Sonar	Daivadnya Sonar
Hindu	Brahmin	Danua
Hindu	Patel	Desai
Hindu	Brahmin	Deshastha
Hindu	Maratha	Deshmukh
Hindu	Brahmin	Devrukhe
Hindu	Vaish	Dhaneshawat
Hindu	Brahmin	Dhiman
Hindu	Patel	Dodia
Hindu	Teli	Donbaile Teli
Hindu	Brahmin	Dravida
Hindu	Teli	Ekbaile Teli
Hindu	Brahmin	Embrandiri
Hindu	Dhangar	Gadari
Hindu	Lohar	Gadi Lohar
Hindu	Brahmin	Garhwali
Hindu	Rajput	Garhwali
Hindu	Maratha	Gomantak
Hindu	Brahmin	Goswami
Hindu	Brahmin	Gour
Hindu	Brahmin	Gowd Saraswat
Hindu	Brahmin	Gujar Gour
Hindu	Brahmin	Gurukkal
Hindu	Mali	Halde Mali
Hindu	Mali	Haldi
Hindu	Brahmin	Halua
Hindu	Chambhar	Harale
Hindu	Dhangar	Hatkar
Hindu	Brahmin	Havyaka
Hindu	Brahmin	Himachali
Hindu	Brahmin	Hoysala
Hindu	Sindhi	Hyderabadi
Hindu	Brahmin	Iyengar
Hindu	Brahmin	Iyer
Hindu	Maratha	Jade
Hindu	Gurav	Jain Gurav
Hindu	Brahmin	Jangid
Hindu	Brahmin	Jhadua
Hindu	Brahmin	Jhijhotiya
Hindu	Mali	Jire Mali
Hindu	Mali	Kachhi Mali
Hindu	Patel	Kadva
Hindu	Brahmin	Kannada Madhva
Hindu	Brahmin	Kanyakubja
Hindu	Brahmin	Karhade
Hindu	Brahmin	Kashmiri Pandit
Hindu	Dhangar	Khutekar
Hindu	Brahmin	Kokanastha
Hindu	Maratha	Kokni/Konkani
Hindu	Brahmin	Kota
Hindu	Brahmin	Kulin
Hindu	Brahmin	Kumaoni
Hindu	Rajput	Kumaoni
Hindu	Maratha	Kunbi
Hindu	Sonar	Lad Sonar
Hindu	Vanjari	Lad Vanjari
Hindu	Sindhi	Larai
Hindu	Patel	Leva
Hindu	Maratha	Leva Patil
Hindu	Lingayat	Lingayat Gawali
Hindu	Lingayat	Lingayat Jangam
Hindu	Lingayat	Lingayat Wani
Hindu	Rajput	Lodhi
Hindu	Sindhi	Lohana
Hindu	Brahmin	Madhwa
Hindu	Matang	Madiga
Hindu	Brahmin	Maharashtrian
Hindu	Brahmin	Maithili
Hindu	Matang	Mang
Hindu	Vanjari	Mathura Vanjari
Hindu	Brahmin	Modh
Hindu	Brahmin	Mohyal
Hindu	Brahmin	Nagar
Hindu	Balija	Naidu
Hindu	Chekkala	Nair
Hindu	Veluthedathu	Nair
Hindu	Brahmin	Namboodiri
Hindu	Brahmin	Niyogi
Hindu	Brahmin	Niyogi Nandavariki
Hindu	Brahmin	Other
Hindu	Brahmin	Paliwal
Hindu	Lohar	Panchal Lohar
Hindu	Sutar	Panchal Sutar
Hindu	Brahmin	Panda
Hindu	Brahmin	Pareek
Hindu	Maratha	Patil
Hindu	Mali	Phul Mali
Hindu	Brahmin	Punjabi
Hindu	Brahmin	Pushkarna
Hindu	Vanjari	Raojin Vanjari
Hindu	Brahmin	Rarhi
Hindu	Brahmin	Rigvedi
Hindu	Brahmin	Rigvedi Deshastha
Hindu	Sindhi	Rohiri
Hindu	Brahmin	Rudraj
Hindu	Mudaliar	Saiva
Hindu	Brahmin	Sakaldwipi
Hindu	Brahmin	Sanadya
Hindu	Brahmin	Sanketi
Hindu	Brahmin	Saraswat
Hindu	Brahmin	Saraswat (GSB)
Hindu	Brahmin	Sarua
Hindu	Brahmin	Saryuparin
Hindu	Sindhi	Sehwani
Hindu	Mudaliar	Senguntha
Hindu	Gurav	Shaiva Gurav
Hindu	Dhangar	Shegar
Hindu	Brahmin	Shivhalli
Hindu	Brahmin	Shrimali
Hindu	Brahmin	Smartha
Hindu	Teli	Souji Teli
Hindu	Brahmin	Sri Vaishnava
Hindu	Brahmin	Stanika
Hindu	Sindhi	Thatai
Hindu	Maratha	Tirale Kunbi
Hindu	Maratha	Tirle
Hindu	Brahmin	Tyagi
Hindu	Sagara	Uppara
Hindu	Brahmin	Vaidiki
Hindu	Brahmin	Vaikhanasa
Hindu	Vaishnav	Vania
Hindu	Nair	Vaniya
Hindu	Brahmin	Velanadu
Hindu	Nair	Velethadathu
Hindu	Nair	Vilakkithala
Hindu	Sutar	Vishwakarma Sutar
Hindu	Brahmin	Viswabrahmin
Hindu	Brahmin	Vyas
Hindu	Brahmin	Yajurvedi
Hindu	Brahmin	Yajurvedi Deshastha
Hindu	Brahmin	
Hindu	Kayastha	
Hindu	Kshatriya	
Hindu	Lingayat	
Hindu	Maratha	
Hindu	Nair	
Hindu	Patel	
Hindu	Rajput	
Hindu	Vaishya	
Jain	Digambar	
Jain	Jain	
Jain	Porwal	
Jain	Shwetamber	
Jain	Vania	
Jain	Digambar	Chaturtha
Jain	Shwetamber	Murtipujak
Jain	Digambar	Panchama
Jain	Digambar	Saitwal
Jain	Shwetamber	Sthanakvasi
Jain	Oswal	
Jain	Shrimal	
Jewish	Jewish	
Muslim	Ansari	
Muslim	Arain	
Muslim	Awan	
Muslim	Bengali	
Muslim	Dawoodi Bohra	
Muslim	Dekkani	
Muslim	Dudekula	
Muslim	Jat	
Muslim	Khoja	
Muslim	Lebbai	
Muslim	Mapila	
Muslim	Maraicar	
Muslim	Memon	
Muslim	Mughal	
Muslim	Muslim	
Muslim	Pathan	
Muslim	Qureshi	
Muslim	Rajput	
Muslim	Rowther	
Muslim	Shafi	
Muslim	Sheikh	
Muslim	Shia	
Muslim	Shia Bohra	
Muslim	Shia Imami Ismaili	
Muslim	Shia Ithna ashariyyah	
Muslim	Shia Zaidi	
Muslim	Siddiqui	
Muslim	Sunni	
Muslim	Sunni Ehle-Hadith	
Muslim	Sunni Hanafi	
Muslim	Sunni Hunbali	
Muslim	Sunni Maliki	
Muslim	Sunni Shafi	
Muslim	Syed	
Muslim	Shia	Ismaili
Muslim	Sunni	Mansuri
Muslim	Sunni	Rayeen
Muslim	Baig	
Muslim	Farooqui	
Muslim	Mirza	
Muslim	Shaikh	
Muslim	Usmani	
No Religion		
Parsi	Parsi	
Sikh	Ahluwalia	
Sikh	Arora	
Sikh	Clean Shaven	
Sikh	Gursikh	
Sikh	Kamboj	
Sikh	Kesadhari	
Sikh	Khatri	
Sikh	Kshatriya	
Sikh	Labana	
Sikh	Mazhbi/Majabi	
Sikh	Ramdasia	
Sikh	Ramgharia	
Sikh	Ravidasia	
Sikh	Saini	
Sikh	Sikh	
Spiritual - not religious	Spiritual - not religious	
Tribal	Tribal	
Zoroastrian	Zoroastrian	
