sr	category_en	occupation_en	category_mr	occupation_mr
294	Legal	Notary Public	कायदा	नोटरी पब्लिक
295	Media Tech	Sound Engineer	मीडिया टेक	साऊंड इंजिनिअर
296	Media Tech	Audio Engineer	मीडिया टेक	ऑडिओ इंजिनिअर
297	E-commerce	Online Seller	ई-कॉमर्स	ऑनलाईन सेलर
298	Media Art	Voice Over Artist	मीडिया कला	व्हॉइस ओव्हर आर्टिस्ट
299	Content	Script Writer	कंटेंट	स्क्रिप्ट रायटर
300	Content	Copywriter	कंटेंट	कॉपीरायटर
301	Modern Tech	Drone Pilot	मॉडर्न टेक	ड्रोन पायलट
302	Supply Chain	Procurement Manager	सप्लाय चेन	खरेदी व्यवस्थापक
303	Supply Chain	Purchase Officer	सप्लाय चेन	खरेदी अधिकारी
304	Supply Chain	Inventory Manager	सप्लाय चेन	इन्व्हेंटरी मॅनेजर
306	Public Safety	Health & Safety Officer	सार्वजनिक सुरक्षा	आरोग्य आणि सुरक्षा अधिकारी
307	Corporate Training	Corporate Trainer	कॉर्पोरेट ट्रेनिंग	कॉर्पोरेट ट्रेनर
308	Corporate Training	Soft Skills Trainer	कॉर्पोरेट ट्रेनिंग	सॉफ्ट स्किल्स ट्रेनर
309	Public Relations	PR Officer	जनसंपर्क	जनसंपर्क अधिकारी (PR)
310	Public Relations	Media Planner	जनसंपर्क	मीडिया प्लॅनर
311	Marketing	Brand Manager	मार्केटिंग	ब्रँड मॅनेजर
312	Events	Wedding Planner	इव्हेंट मॅनेजमेंट	वेडिंग प्लॅनर
313	Events	Event Coordinator	इव्हेंट मॅनेजमेंट	इव्हेंट कोऑर्डिनेटर
314	Photography	Travel Photographer	फोटोग्राफी	ट्रॅव्हल फोटोग्राफर
315	Photography	Wildlife Photographer	फोटोग्राफी	वाईल्डलाईफ फोटोग्राफर
316	Media Production	Cinematographer	मीडिया प्रोडक्शन	सिनेमॅटोग्राफर
317	Media Production	VFX Artist	मीडिया प्रोडक्शन	VFX आर्टिस्ट
318	Media Production	3D Modeler	मीडिया प्रोडक्शन	3D मॉडेलिंग आर्टिस्ट
319	Game Design	Game Designer	गेम डिझाइन	गेम डिझाइनर
320	Modern Tech	AR/VR Developer	मॉडर्न टेक	AR/VR डेव्हलपर
321	Writing	Technical Writer	लेखन	टेक्निकल रायटर
322	Writing	Content Strategist	लेखन	कंटेंट स्ट्रॅटेजिस्ट
323	Digital Marketing	SEO Specialist	डिजिटल मार्केटिंग	SEO स्पेशालिस्ट
324	Digital Marketing	SEM Specialist	डिजिटल मार्केटिंग	SEM स्पेशालिस्ट
325	Digital Marketing	PPC Expert	डिजिटल मार्केटिंग	PPC एक्सपर्ट
326	Digital Marketing	Email Marketer	डिजिटल मार्केटिंग	ईमेल मार्केटर
327	Digital Marketing	Affiliate Marketer	डिजिटल मार्केटिंग	एफिलिएट मार्केटर
328	E-commerce	E-commerce Ops Manager	ई-कॉमर्स	ई-कॉमर्स ऑपरेशन्स मॅनेजर
329	Finance	Stock Analyst	वित्त सेवा	स्टॉक ॲनलिस्ट
330	Finance	Portfolio Manager	वित्त सेवा	पोर्टफोलिओ मॅनेजर
331	Finance	Wealth Manager	वित्त सेवा	वेल्थ मॅनेजर
332	Finance	Actuary	वित्त सेवा	ॲक्चुअरी (Actuary)
333	Finance	Credit Analyst	वित्त सेवा	क्रेडिट ॲनलिस्ट
334	Finance	Risk Manager	वित्त सेवा	रिस्क मॅनेजर
335	Legal	Compliance Officer	कायदेशीर सेवा	कॉम्प्लायन्स अधिकारी
336	Legal	Patent Attorney	कायदेशीर सेवा	पेटंट वकील
337	Legal	IP Consultant	कायदेशीर सेवा	बौद्धिक संपदा सल्लागार (IP)
338	Legal	Cyber Lawyer	कायदेशीर सेवा	सायबर वकील
339	Legal	Real Estate Lawyer	कायदेशीर सेवा	रिअल इस्टेट वकील
